winter_PSurf,spring_PSurf,summer_PSurf,autumn_PSurf,winter_Qair,spring_Qair,summer_Qair,autumn_Qair,winter_Tair,spring_Tair,summer_Tair,autumn_Tair,winter_Wind,spring_Wind,summer_Wind,autumn_Wind,lon,lat,sand % topsoil,silt % topsoil,clay % topsoil,OC % topsoil,OC % subsoil,N % topsoil,N % subsoil,CaCO3 % topsoil
0.86986405,0.8209542,0.827906,0.8362168,0.5410872,-0.05612606,0.7074863,-0.3838329,0.60675097,0.32762882,-0.3366719,0.13967878,0.049264073,0.078773424,1.2293626,0.22557232,-2.286880960862148,-0.22109681042981782,0.09034510745842143,0.06162684932578471,0.4567429432894351,0.1727009014545975,-0.06314652332894755,-0.018564498286577115,0.11933301184163554,-0.03951844434460736
0.6872918,0.6294653,0.6378507,0.64949566,0.6324556,-0.17302628,0.66924983,-0.502996,0.5171139,0.22986901,-0.4704615,0.014477907,-0.38294944,-0.03566449,0.8938026,0.06151098,-2.286880960862148,-0.10442948979710957,0.09034510745842143,0.06162684932578471,0.4567429432894351,0.1727009014545975,-0.06314652332894755,-0.018564498286577115,0.11933301184163554,-0.03951844434460736
0.45921534,0.39206463,0.39927015,0.4184846,0.47516933,-0.4500055,0.33647466,-0.69159883,0.5275327,0.18085471,-0.559781,-0.014368536,-0.5873179,0.16426916,0.6034517,0.04213592,-2.286880960862148,0.012237830835598668,1.0680863365025501,0.011037644655364548,-0.4514121050443468,-0.1785348981753043,-0.44997564803335327,-0.7191242710543737,-1.1511073948411918,1.954543486775934
-0.0009371083,-0.07600065,-0.06722183,-0.042913646,-0.08018217,-0.8244206,-0.22612862,-1.1322265,0.2254112,-0.07218989,-0.86123735,-0.32247165,-0.69882625,0.331583,0.1951511,0.09872926,-2.286880960862148,0.12890515146830736,1.0879389502902477,-0.24190837869673587,-0.17681513232411364,0.6772032318320923,-0.10612753718499286,-0.15867645284013662,-1.1511073948411918,0.9146012760804757
0.33605903,0.26276293,0.26440376,0.29233143,-0.42586368,-1.1777122,-0.86394686,-1.5877267,0.16498338,-0.13770963,-0.93926775,-0.39949542,-1.5835067,-0.56389254,-0.6898445,-1.0718385,-2.286880960862148,0.2455724721010156,0.58417887542741,0.06162684932578471,0.4567429432894351,0.9518057660881967,0.8072190072559642,0.7660624472133544,0.70569012261832,0.009168965224004932
0.4019892,0.36345065,0.36489186,0.37855878,0.58605736,0.20483448,0.5876811,-0.13482167,1.2203889,0.89099646,0.4000511,0.8227594,0.40412092,0.40849403,1.0416324,0.08939997,-2.1719542423932365,-0.45443145169523474,-0.7837489337691003,-1.1770098881836584,-0.8962261168785072,-0.6383344904180842,-1.310670450500655,-0.2735682555740553,-0.8383836024269574,-0.8308152451137941
0.5369996,0.4916514,0.49569368,0.5089145,0.4704801,-0.00092626765,0.4481258,-0.2950087,1.007886,0.75220925,0.21050216,0.6208343,0.25791806,0.25930947,0.9487052,0.10306406,-2.1719542423932365,-0.3377641310625263,-0.7837489337691003,-1.1770098881836584,-0.8962261168785072,-0.6383344904180842,-1.310670450500655,-0.2735682555740553,-0.8383836024269574,-0.8308152451137941
0.8441914,0.79306835,0.7978626,0.81125695,0.31373337,-0.33478063,0.28968966,-0.5821821,0.57553196,0.39314097,-0.15805382,0.2068697,-0.014052719,0.034212593,0.8256043,0.08387169,-2.1719542423932365,-0.22109681042981782,0.09034510745842143,0.06162684932578471,0.4567429432894351,0.1727009014545975,-0.06314652332894755,-0.018564498286577115,0.11933301184163554,-0.03951844434460736
0.5677187,0.5063867,0.51419973,0.5306254,0.41459692,-0.4288586,0.318333,-0.6856436,0.4254763,0.23812552,-0.33630362,0.02430175,-0.27480218,0.09179956,0.6832851,0.07506614,-2.1719542423932365,-0.10442948979710957,1.0680863365025501,0.011037644655364548,-0.4514121050443468,-0.1785348981753043,-0.44997564803335327,-0.7191242710543737,-1.1511073948411918,1.954543486775934
0.42361286,0.3553248,0.36157748,0.38402492,0.44453707,-0.54600835,0.07679769,-0.7457683,0.46609956,0.26237082,-0.35854372,0.06265525,-0.53728026,0.18308727,0.37590727,-0.05048454,-2.1719542423932365,0.012237830835598668,1.0680863365025501,0.011037644655364548,-0.4514121050443468,-0.1785348981753043,-0.44997564803335327,-0.7191242710543737,-1.1511073948411918,1.954543486775934
